"ELM"	"GOTerm ID"	"GOTerm Title"
"CLV_C14_Caspase3-7"	"GO:0006915"	"apoptosis"
"CLV_C14_Caspase3-7"	"GO:0030154"	"cell differentiation"
"CLV_C14_Caspase3-7"	"GO:0008283"	"cell proliferation"
"CLV_C14_Caspase3-7"	"GO:0004197"	"cysteine-type endopeptidase activity"
"CLV_C14_Caspase3-7"	"GO:0005829"	"cytosol"
"CLV_C14_Caspase3-7"	"GO:0005634"	"nucleus"
"CLV_C14_Caspase3-7"	"GO:0005515"	"protein binding"
"CLV_C14_Caspase3-7"	"GO:0006508"	"proteolysis and peptidolysis"
"CLV_C14_Caspase3-7"	"GO:0001817"	"regulation of cytokine production"
"CLV_MEL_PAP_1"	"GO:0003793"	"defense/immunity protein activity"
"CLV_MEL_PAP_1"	"GO:0005576"	"extracellular"
"CLV_MEL_PAP_1"	"GO:0006508"	"proteolysis and peptidolysis"
"CLV_NRD_NRD_1"	"GO:0009928"	"cell surface"
"CLV_NRD_NRD_1"	"GO:0005576"	"extracellular"
"CLV_NRD_NRD_1"	"GO:0005794"	"Golgi apparatus"
"CLV_NRD_NRD_1"	"GO:0004222"	"metalloendopeptidase"
"CLV_NRD_NRD_1"	"GO:0016919"	"nardilysin"
"CLV_NRD_NRD_1"	"GO:0006508"	"proteolysis and peptidolysis"
"CLV_PCSK_FUR_1"	"GO:0005576"	"extracellular"
"CLV_PCSK_FUR_1"	"GO:0004276"	"furin"
"CLV_PCSK_FUR_1"	"GO:0005794"	"Golgi apparatus"
"CLV_PCSK_FUR_1"	"GO:0000139"	"Golgi membrane"
"CLV_PCSK_FUR_1"	"GO:0006508"	"proteolysis and peptidolysis"
"CLV_PCSK_KEX2_1"	"GO:0005576"	"extracellular"
"CLV_PCSK_KEX2_1"	"GO:0005794"	"Golgi apparatus"
"CLV_PCSK_KEX2_1"	"GO:0004290"	"kexin"
"CLV_PCSK_KEX2_1"	"GO:0006508"	"proteolysis and peptidolysis"
"CLV_PCSK_PC1ET2_1"	"GO:0005576"	"extracellular"
"CLV_PCSK_PC1ET2_1"	"GO:0005794"	"Golgi apparatus"
"CLV_PCSK_PC1ET2_1"	"GO:0000139"	"Golgi membrane"
"CLV_PCSK_PC1ET2_1"	"GO:0004285"	"proprotein convertase 1"
"CLV_PCSK_PC1ET2_1"	"GO:0004286"	"proprotein convertase 2"
"CLV_PCSK_PC1ET2_1"	"GO:0006508"	"proteolysis and peptidolysis"
"CLV_PCSK_PC7_1"	"GO:0005576"	"extracellular"
"CLV_PCSK_PC7_1"	"GO:0005794"	"Golgi apparatus"
"CLV_PCSK_PC7_1"	"GO:0000139"	"Golgi membrane"
"CLV_PCSK_PC7_1"	"GO:0016808"	"proprotein convertase"
"CLV_PCSK_PC7_1"	"GO:0006508"	"proteolysis and peptidolysis"
"CLV_PCSK_SKI1_1"	"GO:0005783"	"endoplasmic reticulum"
"CLV_PCSK_SKI1_1"	"GO:0005788"	"endoplasmic reticulum lumen"
"CLV_PCSK_SKI1_1"	"GO:0005576"	"extracellular"
"CLV_PCSK_SKI1_1"	"GO:0005794"	"Golgi apparatus"
"CLV_PCSK_SKI1_1"	"GO:0008233"	"peptidase"
"CLV_PCSK_SKI1_1"	"GO:0006508"	"proteolysis and peptidolysis"
"CLV_PCSK_SKI1_1"	"GO:0004289"	"subtilase"
"CLV_Separin_Fungi"	"GO:0007049"	"cell cycle"
"CLV_Separin_Fungi"	"GO:0005813"	"centrosome"
"CLV_Separin_Fungi"	"GO:0008234"	"cysteine-type peptidase activity"
"CLV_Separin_Fungi"	"GO:0005829"	"cytosol"
"CLV_Separin_Fungi"	"GO:0004175"	"endopeptidase activity"
"CLV_Separin_Fungi"	"GO:0045144"	"meiotic sister chromatid segregation"
"CLV_Separin_Fungi"	"GO:0000070"	"mitotic sister chromatid separation"
"CLV_Separin_Fungi"	"GO:0005634"	"nucleus"
"CLV_Separin_Fungi"	"GO:0005515"	"protein binding"
"CLV_Separin_Metazoa"	"GO:0007049"	"cell cycle"
"CLV_Separin_Metazoa"	"GO:0005813"	"centrosome"
"CLV_Separin_Metazoa"	"GO:0008234"	"cysteine-type peptidase activity"
"CLV_Separin_Metazoa"	"GO:0005829"	"cytosol"
"CLV_Separin_Metazoa"	"GO:0004175"	"endopeptidase activity"
"CLV_Separin_Metazoa"	"GO:0045144"	"meiotic sister chromatid segregation"
"CLV_Separin_Metazoa"	"GO:0000070"	"mitotic sister chromatid separation"
"CLV_Separin_Metazoa"	"GO:0005634"	"nucleus"
"CLV_Separin_Metazoa"	"GO:0005515"	"protein binding"
"CLV_TASPASE1"	"GO:0005634"	"nucleus"
"CLV_TASPASE1"	"GO:0006350"	"transcription"
"DEG_APCC_DBOX_1"	"GO:0000074"	"cell cycle control"
"DEG_APCC_DBOX_1"	"GO:0005829"	"cytosol"
"DEG_APCC_DBOX_1"	"GO:0005634"	"nucleus"
"DEG_APCC_DBOX_1"	"GO:0043161"	"proteasomal ubiquitin-dependent protein catabolic process"
"DEG_APCC_DBOX_1"	"GO:0019904"	"protein domain specific binding"
"DEG_APCC_KENBOX_2"	"GO:0000074"	"cell cycle control"
"DEG_APCC_KENBOX_2"	"GO:0005829"	"cytosol"
"DEG_APCC_KENBOX_2"	"GO:0005634"	"nucleus"
"DEG_APCC_KENBOX_2"	"GO:0043161"	"proteasomal ubiquitin-dependent protein catabolic process"
"DEG_APCC_KENBOX_2"	"GO:0019904"	"protein domain specific binding"
"DEG_APCC_TPR_1"	"GO:0051488"	"activation of anaphase-promoting complex activity"
"DEG_APCC_TPR_1"	"GO:0005680"	"anaphase-promoting complex"
"DEG_APCC_TPR_1"	"GO:0031145"	"anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process"
"DEG_APCC_TPR_1"	"GO:0044770"	"cell cycle phase transition"
"DEG_APCC_TPR_1"	"GO:0005829"	"cytosol"
"DEG_APCC_TPR_1"	"GO:0005634"	"nucleus"
"DEG_APCC_TPR_1"	"GO:0005515"	"protein binding"
"DEG_APCC_TPR_1"	"GO:0051988"	"regulation of attachment of spindle microtubules to kinetochore"
"DEG_APCC_TPR_1"	"GO:0000922"	"spindle pole"
"DEG_APCC_TPR_1"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_COP1_1"	"GO:0005829"	"cytosol"
"DEG_COP1_1"	"GO:0042593"	"glucose homeostasis"
"DEG_COP1_1"	"GO:0010100"	"negative regulation of photomorphogenesis"
"DEG_COP1_1"	"GO:0005634"	"nucleus"
"DEG_COP1_1"	"GO:0008284"	"positive regulation of cell proliferation"
"DEG_COP1_1"	"GO:0032436"	"positive regulation of proteasomal ubiquitin-dependent protein catabolic process"
"DEG_COP1_1"	"GO:0005515"	"protein binding"
"DEG_COP1_1"	"GO:0006355"	"Regulation of transcription, DNA-dependent"
"DEG_COP1_1"	"GO:0031625"	"ubiquitin protein ligase binding"
"DEG_CRL4_CDT2_1"	"GO:0005717"	"Chromatin"
"DEG_CRL4_CDT2_1"	"GO:0080008"	"CUL4 RING ubiquitin ligase complex"
"DEG_CRL4_CDT2_1"	"GO:0000082"	"G1/S transition of mitotic cell cycle"
"DEG_CRL4_CDT2_1"	"GO:0005634"	"nucleus"
"DEG_CRL4_CDT2_1"	"GO:0005515"	"protein binding"
"DEG_CRL4_CDT2_1"	"GO:0000209"	"protein polyubiquitination"
"DEG_CRL4_CDT2_1"	"GO:2000001"	"regulation of DNA damage checkpoint"
"DEG_CRL4_CDT2_1"	"GO:0006511"	"ubiquitin-dependent protein catabolism"
"DEG_CRL4_CDT2_1"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_CRL4_CDT2_2"	"GO:0005717"	"Chromatin"
"DEG_CRL4_CDT2_2"	"GO:0080008"	"CUL4 RING ubiquitin ligase complex"
"DEG_CRL4_CDT2_2"	"GO:0000082"	"G1/S transition of mitotic cell cycle"
"DEG_CRL4_CDT2_2"	"GO:0005634"	"nucleus"
"DEG_CRL4_CDT2_2"	"GO:0005515"	"protein binding"
"DEG_CRL4_CDT2_2"	"GO:0000209"	"protein polyubiquitination"
"DEG_CRL4_CDT2_2"	"GO:2000001"	"regulation of DNA damage checkpoint"
"DEG_CRL4_CDT2_2"	"GO:0006511"	"ubiquitin-dependent protein catabolism"
"DEG_CRL4_CDT2_2"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_Kelch_KLHL3_1"	"GO:0005829"	"cytosol"
"DEG_Kelch_KLHL3_1"	"GO:0006811"	"ion transport"
"DEG_Kelch_KLHL3_1"	"GO:0043161"	"proteasomal ubiquitin-dependent protein catabolic process"
"DEG_Kelch_KLHL3_1"	"GO:0019904"	"protein domain specific binding"
"DEG_Kelch_KLHL3_1"	"GO:0019901"	"protein kinase binding"
"DEG_Kelch_KLHL3_1"	"GO:0007243"	"protein kinase cascade"
"DEG_Kelch_KLHL3_1"	"GO:0006511"	"ubiquitin-dependent protein catabolism"
"DEG_Kelch_Keap1_1"	"GO:0005776"	"autophagic vacuole"
"DEG_Kelch_Keap1_1"	"GO:0034599"	"cellular response to oxidative stress"
"DEG_Kelch_Keap1_1"	"GO:0031463"	"Cul3-RING ubiquitin ligase complex"
"DEG_Kelch_Keap1_1"	"GO:0005829"	"cytosol"
"DEG_Kelch_Keap1_1"	"GO:0016236"	"macroautophagy"
"DEG_Kelch_Keap1_1"	"GO:0005634"	"nucleus"
"DEG_Kelch_Keap1_1"	"GO:0043161"	"proteasomal ubiquitin-dependent protein catabolic process"
"DEG_Kelch_Keap1_1"	"GO:0019904"	"protein domain specific binding"
"DEG_Kelch_Keap1_1"	"GO:0019901"	"protein kinase binding"
"DEG_Kelch_Keap1_1"	"GO:0031396"	"regulation of protein ubiquitination"
"DEG_Kelch_Keap1_1"	"GO:0006511"	"ubiquitin-dependent protein catabolism"
"DEG_Kelch_Keap1_1"	"GO:0004842"	"ubiquitin-protein ligase activity"
"DEG_Kelch_Keap1_2"	"GO:0005776"	"autophagic vacuole"
"DEG_Kelch_Keap1_2"	"GO:0034599"	"cellular response to oxidative stress"
"DEG_Kelch_Keap1_2"	"GO:0031463"	"Cul3-RING ubiquitin ligase complex"
"DEG_Kelch_Keap1_2"	"GO:0005829"	"cytosol"
"DEG_Kelch_Keap1_2"	"GO:0016236"	"macroautophagy"
"DEG_Kelch_Keap1_2"	"GO:0005634"	"nucleus"
"DEG_Kelch_Keap1_2"	"GO:0043161"	"proteasomal ubiquitin-dependent protein catabolic process"
