vProteins,hProteins
Q6JGH3,Q13363
Q71BY8,Q13363
P03259,P62195
P03259,Q92793
P03259,P16220
P03259,P18846
P03259,P10644
P03259,P13861
P04492,Q13323
P04492,Q07812
P04492,Q16611
P04491,Q9UER7
P03259,P10644
P03259,P13861
P36711,P78310
P03259,P62195
P04491,P04637
P04491,Q9UER7
P03259,P25490
P03259,Q01860
P03259,Q01860
P03259,Q09472
P03259,Q09472
P03259,Q09472
P03259,Q92793
P03259,Q92793
P03259,Q92793
P03259,Q99966
P03259,P10644
P03259,P10644
P03259,P13861
P03259,P16220
P03259,P18846
P03259,P31323
P03259,Q92793
P03259,P25490
P03259,P25490
P03259,Q92793
P04491,Q9UER7
P03259,P13861
P03259,P13861
P03259,P13861
P03259,B2R5T5
P03259,B2R5T5
P03259,B2R5T5
P03259,D2IYK3
P03259,D2IYK3
P03259,P13861
P36711,P78310
P04492,Q12982
P03259,P46527
P04492,Q12981
P04492,Q07812
P04492,Q12983
P36711,P78310
P36710,Q12983
P03259,Q9NPA8
P03254,P62826
P03254,P06400
P03261,Q12857
P03244,Q9UER7
P03247,O60238
P03247,Q12983
P03247,O60238
P03247,Q12983
P03247,P02545
P03247,Q16611
P03247,Q12982
P03254,P62826
P03244,Q9UER7
P24935,Q9UI95
P03264,Q6ZRS2
P03239,P04637
P03239,P78527
P03244,Q13547
P03261,P06493
P24935,Q9UI95
P03254,P06400
P03254,P18846
P03254,P15336
P03254,P18847
P03254,P45984
P03254,P22415
P03254,P08047
P03254,P21675
P03254,P06400
P03254,P18846
P03254,P15336
P03254,P18847
P03254,P45984
P03254,P22415
P03254,P08047
P03247,O60238
P03254,P62826
P03254,P20226
P24935,Q9UI95
P03254,P06400
P03254,P18846
P03254,P15336
P03254,P18847
P03254,P45984
P03254,P22415
P03254,P08047
P03244,P04637
P03264,Q12857
P03244,Q9UER7
P24935,Q9UI95
Q779E8,Q9UI95
Q779E8,Q9UI95
Q779E8,Q9UI95
P03254,Q13363
P03254,P10826
P03244,P04637
P03238,P04637
P03244,Q9UER7
P27311,Q93086
P03267,Q07021
P03254,Q13363
P03254,P46527
P03275,P78310
P03261,P08651
P03254,P46527
P03261,Q969R5
Q6JGG5,P20226
P03255,P06400
P03255,P06400
P03255,Q92830
P03255,Q09472
P03255,Q09472
P03255,Q9Y4A5
P03255,Q92831
P03255,Q92831
P03255,Q92793
P68951,P06748
P03255,P10826
P03243,Q9UER7
P03255,Q15326
P03255,Q15326
P03255,P42224
P03255,P17980
P03255,P62195
P03255,P62195
P03255,Q13200
P03255,P62333
P24938,P06748
P68951,Q01105
P03255,O15151
P03255,Q92831
P04489,P29590
P03255,Q13363
P03255,O15151
P03255,Q92831
P03246,Q9NYF8
P03255,P42224
P03246,Q9NYF8
P04499,P14859
P04499,P27708
P03255,Q13363
P03255,P20226
P03255,P42224
P03265,Q6ZRS2
P04499,P27708
P03281,P00742
P03255,Q01860
