Elm	Domain	interactorElm	interactorDomain	StartElm	StopElm	StartDomain	StopDomain	AffinityMin	AffinityMax	PMID	taxonomyElm	taxonomyDomain	
CLV_Separin_Fungi	PF03568	Q12158	Q03018	175	181	1171	1571	None	None	10403247,14585836	"559292"(Saccharomyces cerevisiae S288c)	"559292"(Saccharomyces cerevisiae S288c)
CLV_Separin_Fungi	PF03568	Q12158	Q03018	263	269	1171	1571	None	None	10403247	"559292"(Saccharomyces cerevisiae S288c)	"559292"(Saccharomyces cerevisiae S288c)
CLV_Separin_Fungi	PF03568	Q12188	Q03018	448	454	1171	1571	None	None	11081626	"559292"(Saccharomyces cerevisiae S288c)	"559292"(Saccharomyces cerevisiae S288c)
CLV_Separin_Fungi	PF03568	P30776	P18296	226	232	1379	1770	None	None	11069892	"284812"(Schizosaccharomyces pombe 972h-)	"284812"(Schizosaccharomyces pombe 972h-)
CLV_Separin_Metazoa	PF03568	O60216	Q14674	169	173	1716	2069	None	None	11509732	"9606"(Homo sapiens)	"9606"(Homo sapiens)
CLV_Separin_Metazoa	PF03568	O95613	Q14674	2228	2232	1716	2069	None	None	22542101	"9606"(Homo sapiens)	"9606"(Homo sapiens)
CLV_Separin_Metazoa	PF03568	Q14674	Q14674	1483	1487	1716	2069	None	None	12194817,12297314	"9606"(Homo sapiens)	"9606"(Homo sapiens)
CLV_Separin_Metazoa	PF03568	Q14674	Q14674	1503	1507	1716	2069	None	None	12194817,12297314	"9606"(Homo sapiens)	"9606"(Homo sapiens)
CLV_Separin_Metazoa	PF03568	Q14674	Q14674	1532	1536	1716	2069	None	None	12194817,12297314	"9606"(Homo sapiens)	"9606"(Homo sapiens)
LIG_PDZ_Class_1	PF00595	Q61315	Q64512	2840	2845	None	None	None	None	17161370	"10090"(Mus musculus)	"10090"(Mus musculus)
LIG_PDZ_Class_1	PF00595	P07550	O14745	408	413	None	None	None	None	11882663	"9606"(Homo sapiens)	"9606"(Homo sapiens)
